"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","total_baseline_alerts.1","total_experiment_alerts.1","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_filtered_percent","pkts_filtered_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"271","VulnerabilityScan","packet_sampling_10_10",3567333,6063,6054,6063,6054,0,0,0,"34.64",1235639,"99.85",6054,"0.00",0,20.1039745807648
"272","VulnerabilityScan","packet_sampling_10_25",3567333,6063,6054,6063,6054,0,0,0,"45.04",1606890,"99.85",6054,"0.00",0,18.8698513507843
"273","VulnerabilityScan","packet_sampling_10_5",3567333,6063,6054,6063,6054,0,0,0,"25.39",905700,"99.85",6054,"0.00",0,21.8040502071381
"274","VulnerabilityScan","packet_sampling_25_10",3567333,6063,6055,6063,6055,0,0,0,"27.36",976115,"99.87",6055,"0.00",0,21.5486361980438
"275","VulnerabilityScan","packet_sampling_25_25",3567333,6063,6055,6063,6055,0,0,0,"40.27",1436410,"99.87",6055,"0.00",0,21.4996347427368
"276","VulnerabilityScan","packet_sampling_25_5",3567333,6063,6055,6063,6055,0,0,0,"18.15",647295,"99.87",6055,"0.00",0,22.4602303504944
"277","VulnerabilityScan","packet_sampling_5_10",3567333,6063,6035,6063,6035,0,0,0,"44.79",1597833,"99.54",6035,"0.00",0,32.3649022579193
"278","VulnerabilityScan","packet_sampling_5_25",3567333,6063,5992,6063,5992,0,0,0,"53.62",1912845,"98.83",5992,"0.00",0,29.9811804294586
"279","VulnerabilityScan","packet_sampling_5_5",3567333,6063,6035,6063,6035,0,0,0,"35.11",1252617,"99.54",6035,"0.00",0,35.3992438316345
"280","VulnerabilityScan","packet_sampling_50_10",3567333,6063,6055,6063,6055,0,0,0,"26.03",928424,"99.87",6055,"0.00",0,22.40935587883
"281","VulnerabilityScan","packet_sampling_50_25",3567333,6063,6055,6063,6055,0,0,0,"38.67",1379428,"99.87",6055,"0.00",0,21.4661595821381
"282","VulnerabilityScan","packet_sampling_50_5",3567333,6063,6055,6063,6055,0,0,0,"16.48",587799,"99.87",6055,"0.00",0,24.2840583324432
"283","VulnerabilityScan","rule_based_extended",3567333,6063,6046,6063,6046,416.018869558855,127.498610306355,0.101068220993106,"71.84",2562677,"99.36",6024,"0.36",22,42.8460819721222
"284","VulnerabilityScan","rule_based_fast_pattern",3567333,6063,5786,6063,5786,305.811625940163,88.886576049951,0,"81.43",2904864,"95.12",5767,"0.33",19,16.8975765705109
"285","VulnerabilityScan","rule_based_tls_bigger_14",3567333,6063,6045,6063,6045,270.840141640828,68.9992498597692,0.0564418852963825,"65.54",2338015,"99.34",6023,"0.36",22,18.2422733306885
"286","XSS","packet_sampling_10_10",36179,87,87,87,87,0,0,0,"39.33",14231,"100.00",87,"0.00",0,7.49352216720581
"287","XSS","packet_sampling_10_25",36179,87,87,87,87,0,0,0,"43.78",15840,"100.00",87,"0.00",0,6.80278921127319
"288","XSS","packet_sampling_10_5",36179,87,87,87,87,0,0,0,"29.74",10761,"100.00",87,"0.00",0,12.0371434688568
"289","XSS","packet_sampling_25_10",36179,87,87,87,87,0,0,0,"20.18",7300,"100.00",87,"0.00",0,6.69203925132751
"290","XSS","packet_sampling_25_25",36179,87,87,87,87,0,0,0,"20.57",7442,"100.00",87,"0.00",0,6.77310657501221
"291","XSS","packet_sampling_25_5",36179,87,87,87,87,0,0,0,"18.55",6712,"100.00",87,"0.00",0,6.71451354026794
"292","XSS","packet_sampling_5_10",36179,87,87,87,87,0,0,0,"52.06",18833,"100.00",87,"0.00",0,14.4268214702606
"293","XSS","packet_sampling_5_25",36179,87,87,87,87,0,0,0,"59.17",21407,"100.00",87,"0.00",0,13.6292824745178
"294","XSS","packet_sampling_5_5",36179,87,87,87,87,0,0,0,"39.02",14116,"100.00",87,"0.00",0,13.0047612190247
"295","XSS","packet_sampling_50_10",36179,87,87,87,87,0,0,0,"11.35",4105,"100.00",87,"0.00",0,15.5111305713654
"296","XSS","packet_sampling_50_25",36179,87,87,87,87,0,0,0,"11.39",4120,"100.00",87,"0.00",0,7.64083862304688
"297","XSS","packet_sampling_50_5",36179,87,87,87,87,0,0,0,"11.01",3985,"100.00",87,"0.00",0,8.80768299102783
"298","XSS","rule_based_extended",36179,87,88,87,88,566.767959313414,196.183393681417,0.153293346969236,"84.87",30706,"100.00",87,"1.14",1,33.4671754837036
"299","XSS","rule_based_fast_pattern",36179,87,67,87,67,431.568340750159,141.940213936261,0,"83.15",30082,"75.86",66,"1.49",1,11.8984549045563
"300","XSS","rule_based_tls_bigger_14",36179,87,87,87,87,231.803587716631,51.1347466762487,0.0487022858564361,"67.64",24472,"98.85",86,"1.15",1,11.6901671886444
