"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_fowarded_percent","pkts_fowarded_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"343","XSS","packet_sampling_10_10",36179,1,1,0,0,0,"60.67",21948,"0.00",0,"100.00",1,29.0720853805542
"344","XSS","packet_sampling_10_25",36179,1,1,0,0,0,"56.22",20339,"100.00",1,"0.00",0,15.9476385116577
"345","XSS","packet_sampling_10_5",36179,1,1,0,0,0,"70.26",25418,"0.00",0,"100.00",1,16.2146880626678
"346","XSS","packet_sampling_10_50",36179,1,1,0,0,0,"54.40",19683,"0.00",0,"100.00",1,15.8310136795044
"347","XSS","packet_sampling_25_10",36179,1,1,0,0,0,"79.82",28879,"0.00",0,"100.00",1,16.4461019039154
"348","XSS","packet_sampling_25_25",36179,1,1,0,0,0,"79.43",28737,"100.00",1,"0.00",0,16.2365686893463
"349","XSS","packet_sampling_25_5",36179,1,1,0,0,0,"81.45",29467,"100.00",1,"0.00",0,17.0930814743042
"350","XSS","packet_sampling_25_50",36179,1,1,0,0,0,"78.81",28511,"0.00",0,"100.00",1,16.2249681949615
"351","XSS","packet_sampling_5_10",36179,1,1,0,0,0,"47.94",17346,"0.00",0,"100.00",1,25.5466232299805
"352","XSS","packet_sampling_5_25",36179,1,1,0,0,0,"40.83",14772,"0.00",0,"100.00",1,29.5874676704407
"353","XSS","packet_sampling_5_5",36179,1,1,0,0,0,"60.98",22063,"0.00",0,"100.00",1,44.9049379825592
"354","XSS","packet_sampling_5_50",36179,1,1,0,0,0,"37.60",13603,"0.00",0,"100.00",1,29.3034644126892
"355","XSS","packet_sampling_50_10",36179,1,1,0,0,0,"88.65",32074,"0.00",0,"100.00",1,16.5172479152679
"356","XSS","packet_sampling_50_25",36179,1,1,0,0,0,"88.61",32059,"100.00",1,"0.00",0,16.0662016868591
"357","XSS","packet_sampling_50_5",36179,1,1,0,0,0,"88.99",32194,"0.00",0,"100.00",1,16.2857694625854
"358","XSS","rule_based_eRBF",36179,1,1,0,0,0,"14.34",5188,"100.00",1,"0.00",0,68.9651789665222
"359","XSS","rule_based_fast_pattern",36179,1,0,0,0,0,"31.24",11301,"0.00",0,"0",0,27.6280097961426
"360","XSS","rule_based_header_only",36179,1,0,0,0,0,"67.68",24487,"0.00",0,"0",0,18.8814897537231
