experiment,avg_num_rules_compared_to (avg),avg_num_rules_compared_to (std),avg_num_contents_compared_to (avg),avg_num_contents_compared_to (std),avg_num_pcre_compared_to (avg),avg_num_pcre_compared_to (std)
Extended,1371.76,577.25,1000.25,566.32,1.24,0.65
Fast Pattern,168.40,66.69,52.42,29.32,0.00,0.00
