"","day","experiment","suspicious_pkts_percent","pkt_alerts_true_positives_percent","flow_alerts_true_positives_percent","pkt_processing_time","snort_processing_time"
"56","Thursday","flow_sampling_10_20","26.96","60.39","97.93",2.31065389098925e-05,44.056934595108
"57","Thursday","flow_sampling_10_50","26.77","60.41","97.96",2.3332594208204e-05,57.6295411586761
"58","Thursday","flow_sampling_3_20","13.95","40.68","65.44",2.30076660240807e-05,13.5670940876007
"59","Thursday","flow_sampling_5_10","25.98","57.04","93.91",2.32228267296254e-05,32.5305485725403
"60","Thursday","flow_sampling_5_20","18.57","56.55","92.86",2.31787425843449e-05,30.4623036384583
"61","Thursday","flow_sampling_5_50","18.41","56.52","92.85",2.29861339956958e-05,38.2779214382172
"62","Thursday","FS N=10 T=10","33.41","60.49","98.02",2.32418378594086e-05,60.5556814670563
"63","Thursday","FS N=5 T=100","17.31","56.52","92.86",2.30711647471562e-05,39.6721668243408
"64","Thursday","Our work","11.91","94.98","88.86",0.00152133459091583,23.9667329788208
"65","Thursday","pre_filtering_full","11.18","92.54","94.71",0.00155373387296274,24.3739244937897
"66","Thursday","pre_filtering_full_new_after","12.23","92.54","94.71",0.00153903002427961,24.4972591400146
"67","Thursday","pre_filtering_full_new_before","11.08","91.98","93.22",0.00147265657928954,22.4789550304413
"68","Thursday","pre_filtering_full_stream_tcp_before","11.77","94.80","88.49",0.00148302914657933,23.2507383823395
"69","Thursday","pre_filtering_test_new_pa","10.84","94.56","87.97",0.00154527682995253,22.9733257293701
"70","Thursday","pre_filtering_test_no_fin","9.24","89.57","86.16",0.00155230513826419,18.5284972190857
"71","Thursday","pre_filtering_test_no_fin_removal","11.99","94.98","88.86",0.00152540193479833,23.9303324222565
"72","Thursday","Wang and Chang","50.29","88.57","83.41",0.00112091223886635,128.287848949432
"73","Friday","flow_sampling_10_100","34.24","95.81","98.47",2.24078908174821e-05,46.9077649116516
"74","Friday","flow_sampling_10_20","38.39","97.12","98.47",2.2814935080019e-05,48.4305372238159
"75","Friday","flow_sampling_10_50","38.19","97.01","98.48",2.31236514192948e-05,66.1029109954834
