"","day","experiment","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","suspicious_pkts_percent","signatures_true_positive_percent","signatures_false_positive_percent","nids_processing_time"
"63","Thursday","pre_filtering_latest_lateee",1707.9909002604,1118.55809376182,0.466214046840681,"18.43","98.08","0.00",19.3851716518402
"64","Thursday","pre_filtering_wang_chang",523.567960609417,293.230474601817,0,"40.29","2.46","0.00",23.7099199295044
"65","Friday","packet_sampling_10_10",0,0,0,"43.89","82.50","0.23",20.3815820217133
"66","Friday","packet_sampling_10_25",0,0,0,"38.36","82.38","0.23",19.7036964893341
"67","Friday","packet_sampling_10_5",0,0,0,"44.72","82.76","0.15",20.354218006134
"68","Friday","packet_sampling_25_10",0,0,0,"50.18","88.86","0.07",21.0204210281372
"69","Friday","packet_sampling_25_25",0,0,0,"48.16","88.86","0.00",20.4425384998322
"70","Friday","packet_sampling_25_5",0,0,0,"50.59","88.92","0.00",21.0486114025116
"71","Friday","packet_sampling_5_10",0,0,0,"32.32","74.89","0.17",18.7970135211945
"72","Friday","packet_sampling_5_25",0,0,0,"25.91","74.95","0.17",18.2047016620636
"73","Friday","packet_sampling_5_5",0,0,0,"34.06","75.33","0.00",18.80255651474
"74","Friday","packet_sampling_50_10",0,0,0,"54.14","90.06","0.00",21.0469470024109
"75","Friday","packet_sampling_50_25",0,0,0,"52.89","89.87","0.00",20.6928398609161
"76","Friday","packet_sampling_50_5",0,0,0,"54.52","90.06","0.00",21.1337115764618
"77","Friday","pre_filtering_full",1546.26836465433,994.12178029049,0.549193858614341,"25.32","86.09","0.00",31.5373635292053
"78","Friday","pre_filtering_last_commit",1546.26836465433,994.12178029049,0.549193858614341,"25.32","85.46","0.00",18.3516440391541
"79","Friday","pre_filtering_latest_lateee",1546.26836465433,994.12178029049,0.549193858614341,"25.32","86.09","0.00",31.4556519985199
"80","Friday","pre_filtering_wang_chang",553.079759756924,298.175432196885,0,"34.53","44.87","0.00",19.8818504810333
